commit_id,committer,message,parents,URL,verification_status,stats,files,author_name,date,author_login,author_repos_url,author_orgs_url,merge,branch
6c8cdf325eb1dc8a0e2ea9205a1d2ca05f69c101,GitHub,Remove galleryExtension check when initializing remote menu (#187109)  Remove galleryExtension check,609e6369335d436a5fa14ec97467447d5608b51f,https://api.github.com/repos/microsoft/vscode/commits/6c8cdf325eb1dc8a0e2ea9205a1d2ca05f69c101,True,"{'total': 16, 'additions': 6, 'deletions': 10}",['src/vs/workbench/contrib/remote/browser/remoteIndicator.ts'],Bhavya U,2023-07-06T00:35:13Z,bhavyaus,https://api.github.com/users/bhavyaus/repos,https://api.github.com/users/bhavyaus/orgs,False,main
609e6369335d436a5fa14ec97467447d5608b51f,GitHub,"Also check for secret storage provider before using old API (#187105)  This allows a nice migration path for web environments: 1. Embedder implements a secret storage provider in addition to the credentials provider they already have 2. Wait a release or 2 3. Remove the credentials provider from the embedder  Once all known embedders do number 1, we can delete the `_oldMainThreadSecretState` entirely.",c9073ad0c8f57bcbea556d67d8044a068667f2d7,https://api.github.com/repos/microsoft/vscode/commits/609e6369335d436a5fa14ec97467447d5608b51f,True,"{'total': 13, 'additions': 9, 'deletions': 4}",['src/vs/workbench/api/browser/mainThreadSecretState.ts'],Tyler James Leonhardt,2023-07-06T00:19:33Z,TylerLeonhardt,https://api.github.com/users/TylerLeonhardt/repos,https://api.github.com/users/TylerLeonhardt/orgs,False,main
c9073ad0c8f57bcbea556d67d8044a068667f2d7,GitHub,"Bump semver from 7.3.7 to 7.5.3 in /extensions/css-language-features (#187107)  Bumps [semver](https://github.com/npm/node-semver) from 7.3.7 to 7.5.3.
 - [Release notes](https://github.com/npm/node-semver/releases)
 - [Changelog](https://github.com/npm/node-semver/blob/main/CHANGELOG.md)
 - [Commits](https://github.com/npm/node-semver/compare/v7.3.7...v7.5.3)
 
 ---
 updated-dependencies:
 - dependency-name: semver
   dependency-type: indirect
 ...
 
 Signed-off-by: dependabot[bot] <support@github.com>
 Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",9618e4fa2a80e3ea788a6098a72d46c8db058a91,https://api.github.com/repos/microsoft/vscode/commits/c9073ad0c8f57bcbea556d67d8044a068667f2d7,True,"{'total': 6, 'additions': 3, 'deletions': 3}",['extensions/css-language-features/yarn.lock'],dependabot[bot],2023-07-05T23:54:58Z,dependabot[bot],https://api.github.com/users/dependabot%5Bbot%5D/repos,https://api.github.com/users/dependabot%5Bbot%5D/orgs,False,main
9618e4fa2a80e3ea788a6098a72d46c8db058a91,GitHub,"Bump semver from 7.3.8 to 7.5.3 in /build/npm/gyp (#186809)  Bumps [semver](https://github.com/npm/node-semver) from 7.3.8 to 7.5.3.
 - [Release notes](https://github.com/npm/node-semver/releases)
 - [Changelog](https://github.com/npm/node-semver/blob/main/CHANGELOG.md)
 - [Commits](https://github.com/npm/node-semver/compare/v7.3.8...v7.5.3)
 
 ---
 updated-dependencies:
 - dependency-name: semver
   dependency-type: indirect
 ...
 
 Signed-off-by: dependabot[bot] <support@github.com>
 Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",6fa852f87a0bb83f951e9ac38b4481462b10e11c,https://api.github.com/repos/microsoft/vscode/commits/9618e4fa2a80e3ea788a6098a72d46c8db058a91,True,"{'total': 6, 'additions': 3, 'deletions': 3}",['build/npm/gyp/yarn.lock'],dependabot[bot],2023-07-05T23:29:55Z,dependabot[bot],https://api.github.com/users/dependabot%5Bbot%5D/repos,https://api.github.com/users/dependabot%5Bbot%5D/orgs,False,main
6fa852f87a0bb83f951e9ac38b4481462b10e11c,GitHub,"Bump semver from 7.3.5 to 7.5.3 in /remote (#185981)  Bumps [semver](https://github.com/npm/node-semver) from 7.3.5 to 7.5.3.
 - [Release notes](https://github.com/npm/node-semver/releases)
 - [Changelog](https://github.com/npm/node-semver/blob/main/CHANGELOG.md)
 - [Commits](https://github.com/npm/node-semver/compare/v7.3.5...v7.5.3)
 
 ---
 updated-dependencies:
 - dependency-name: semver
   dependency-type: indirect
 ...
 
 Signed-off-by: dependabot[bot] <support@github.com>
 Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",99494a7a29e381c72103c3ccfcd31b4d7cdf259a,https://api.github.com/repos/microsoft/vscode/commits/6fa852f87a0bb83f951e9ac38b4481462b10e11c,True,"{'total': 6, 'additions': 3, 'deletions': 3}",['remote/yarn.lock'],dependabot[bot],2023-07-05T23:29:29Z,dependabot[bot],https://api.github.com/users/dependabot%5Bbot%5D/repos,https://api.github.com/users/dependabot%5Bbot%5D/orgs,False,main
99494a7a29e381c72103c3ccfcd31b4d7cdf259a,GitHub,"Show busy indicator in remote menu when initializing. (#187018)  * Show progress bar in remote indicator when initializing
 
 * Remove placeholder change",322bc2d7d86e8d0c2ccb1bfdabe594e2011d500f,https://api.github.com/repos/microsoft/vscode/commits/99494a7a29e381c72103c3ccfcd31b4d7cdf259a,True,"{'total': 41, 'additions': 18, 'deletions': 23}",['src/vs/workbench/contrib/remote/browser/remoteIndicator.ts'],Bhavya U,2023-07-05T23:14:40Z,bhavyaus,https://api.github.com/users/bhavyaus/repos,https://api.github.com/users/bhavyaus/orgs,False,main
322bc2d7d86e8d0c2ccb1bfdabe594e2011d500f,GitHub,"Have getCurrentAuthenticationSessionInfo take in a secretStorageService (#187092)  To start the migration process, we have `getCurrentAuthenticationSessionInfo` take in a `secretStorageService` and also replaces the `LocalStorageCredentialProvider` with a `LocalStorageSecretStorageProvider`.  After this goes in we can then update all embedders (vscode.dev, github.dev, Codespaces, vscode-web-test?) and replace ICredentialProvider usages with ISecretStorageProviders and then once we do that, we can get rid of a bunch of code!",c7d219b53f5e602f27d36dc1676709f5e49ab2c2,https://api.github.com/repos/microsoft/vscode/commits/322bc2d7d86e8d0c2ccb1bfdabe594e2011d500f,True,"{'total': 216, 'additions': 71, 'deletions': 145}","['src/vs/code/browser/workbench/workbench.ts', 'src/vs/workbench/browser/parts/activitybar/activitybarActions.ts', 'src/vs/workbench/browser/web.main.ts', 'src/vs/workbench/contrib/editSessions/browser/editSessionsStorageService.ts', 'src/vs/workbench/services/authentication/browser/authenticationService.ts', 'src/vs/workbench/services/secrets/browser/secretStorageService.ts', 'src/vs/workbench/services/userDataSync/browser/userDataSyncInit.ts', 'src/vs/workbench/services/userDataSync/browser/userDataSyncWorkbenchService.ts']",Tyler James Leonhardt,2023-07-05T22:09:01Z,TylerLeonhardt,https://api.github.com/users/TylerLeonhardt/repos,https://api.github.com/users/TylerLeonhardt/orgs,False,main
c7d219b53f5e602f27d36dc1676709f5e49ab2c2,GitHub,testing: make running tests open the results view instead of explorer (#187100)  Closes #153068,856bc1e28de12896333edefe113b0311353d6d61,https://api.github.com/repos/microsoft/vscode/commits/c7d219b53f5e602f27d36dc1676709f5e49ab2c2,True,"{'total': 2, 'additions': 1, 'deletions': 1}",['src/vs/workbench/contrib/testing/browser/testingProgressUiService.ts'],Connor Peet,2023-07-05T21:55:10Z,connor4312,https://api.github.com/users/connor4312/repos,https://api.github.com/users/connor4312/orgs,False,main
856bc1e28de12896333edefe113b0311353d6d61,GitHub,testing: property make double click go to test (#187099)  Fixes #183835,753fdf84207db7023f197c84c52bbfed03350099,https://api.github.com/repos/microsoft/vscode/commits/856bc1e28de12896333edefe113b0311353d6d61,True,"{'total': 5, 'additions': 3, 'deletions': 2}",['src/vs/workbench/contrib/testing/browser/testingExplorerView.ts'],Connor Peet,2023-07-05T21:38:29Z,connor4312,https://api.github.com/users/connor4312/repos,https://api.github.com/users/connor4312/orgs,False,main
753fdf84207db7023f197c84c52bbfed03350099,GitHub,testing: fix inconsistent action name (#187098)  Fixes #186370,26a45ba4d3ba4f89f61ef94747857bc5cc1e6967,https://api.github.com/repos/microsoft/vscode/commits/753fdf84207db7023f197c84c52bbfed03350099,True,"{'total': 2, 'additions': 1, 'deletions': 1}",['src/vs/workbench/contrib/testing/browser/testingOutputPeek.ts'],Connor Peet,2023-07-05T21:34:38Z,connor4312,https://api.github.com/users/connor4312/repos,https://api.github.com/users/connor4312/orgs,False,main
26a45ba4d3ba4f89f61ef94747857bc5cc1e6967,GitHub,fix: adjust widget overflow styling (#186951)  Fixes microsoft/vscode-pull-request-github#4973,b540ba7b277b27f2481ba2a9dbf380019d4cffdd,https://api.github.com/repos/microsoft/vscode/commits/26a45ba4d3ba4f89f61ef94747857bc5cc1e6967,True,"{'total': 5, 'additions': 2, 'deletions': 3}",['src/vs/workbench/contrib/preferences/browser/media/settingsWidgets.css'],Raymond Zhao,2023-07-05T21:31:37Z,rzhao271,https://api.github.com/users/rzhao271/repos,https://api.github.com/users/rzhao271/orgs,False,main
